date,market,arrivals,index_2019
2025-09-01,Other Markets In Greater China,1168,46.018977574941715
2025-09-01,North Asia,95066,74.54436982839907
2025-09-01,Japan,59315,80.49005550102454
2025-09-01,South Korea,35676,66.28680432547597
2025-09-01,Other Markets In North Asia,75,456.8527918781726
2025-09-01,South Asia,124044,86.86083213270989
2025-09-01,Bangladesh,14045,123.03447067583548
2025-09-01,India,99037,83.81169723686929
2025-09-01,Pakistan,1753,105.31691198558126
2025-09-01,Sri Lanka,5784,70.29370062791168
2025-09-01,Other Markets In South Asia,3425,102.74999999999999
2025-09-01,West Asia,16083,114.2650767900913
2025-09-01,Iran,539,81.21546961325967
2025-09-01,Israel,2267,111.96444005432768
2025-09-01,Kuwait,513,63.95844155844156
2025-09-01,Saudi Arabia,1950,151.25072716695755
2025-09-01,United Arab Emirates,8573,126.1817735802772
2025-09-01,Other Markets In West Asia,2241,89.5952023988006
2025-09-01,Americas,60482,75.3896029026364
2025-09-01,Canada,8992,77.87360262119036
2025-09-01,USA,44191,72.70159814315424
2025-09-01,Other Markets In Americas,7299,92.45189415129988
2025-09-01,Europe,148925,83.79090673379565
2025-09-01,Belgium & Luxembourg,3008,104.74145435552202
2025-09-01,Denmark,1856,58.53504691319088
2025-09-01,Finland,1448,56.461413484971565
2025-09-01,France,14149,79.78459456411413
2025-09-01,Germany,25397,80.04160133628535
2025-09-01,Italy,8367,97.74152096880961
2025-09-01,Netherlands,7262,87.62329944798046
2025-09-01,Norway,1698,60.05305039787798
2025-09-01,Rep Of Ireland,1969,95.69091203628707
2025-09-01,Russian Federation,3891,58.17665308563525
2025-09-01,Spain,7984,146.49765286930992
2025-09-01,Sweden,1505,36.01411849163459
2025-09-01,Switzerland,6874,84.17056968806442
2025-09-01,United Kingdom,39297,77.58270938319012
2025-09-01,Other Markets In Europe,24220,106.25447845224691
2025-09-01,Oceania,127606,115.96100282770392
2025-09-01,Australia,107322,112.64090346144965
2025-09-01,New Zealand,17244,135.22319590660473
2025-09-01,Other Markets In Oceania,3040,151.09969763492523
2025-09-01,Africa,6714,88.56935558340479
2025-09-01,Egypt,280,64.83983018139715
2025-09-01,Mauritius,270,24.74037874160049
2025-09-01,South Africa (Rep Of),2882,80.92285373329902
2025-09-01,Other Markets In Africa,3282,131.4947747988381
2025-09-01,Others,33,7920.0
2025-08-01,Total International Visitor Arrivals By Place Of Residence,1609317,101.0242092285338
2025-08-01,Southeast Asia,410442,74.35180923393983
2025-08-01,Brunei Darussalam,5475,90.49088204506639
2025-08-01,Indonesia,162901,62.84304188288788
2025-08-01,Malaysia,88675,87.16915288393011
2025-08-01,Myanmar,13930,107.15865455501208
2025-08-01,Philippines,61461,88.93160100081391
2025-08-01,Thailand,31917,72.46356520801366
2025-08-01,Vietnam,37835,76.69956381156389
2025-08-01,Other Markets In Southeast Asia,8248,86.40268175151895
2025-08-01,Greater China,488986,128.34985655377332
2025-08-01,China,398206,131.74287037649705
2025-08-01,Hong Kong SAR,38784,95.26468553369003
2025-08-01,Taiwan,47731,134.57071769075884
2025-08-01,Other Markets In Greater China,4265,168.04018780575893
2025-08-01,North Asia,157987,123.88279044115964
2025-08-01,Japan,92867,126.01989352126184
2025-08-01,South Korea,64983,120.73986448823872
2025-08-01,Other Markets In North Asia,137,834.5177664974619
2025-08-01,South Asia,118102,82.6999935227605
2025-08-01,Bangladesh,13833,121.1773465901625
2025-08-01,India,91142,77.13042306978949
2025-08-01,Pakistan,2660,159.80775007509763
2025-08-01,Sri Lanka,7157,86.97994733643912
2025-08-01,Other Markets In South Asia,3310,99.3
2025-08-01,West Asia,24000,170.51307858995156
2025-08-01,Iran,285,42.94324460070317
2025-08-01,Israel,1942,95.91307568835659
2025-08-01,Kuwait,1946,242.6181818181818
2025-08-01,Saudi Arabia,3941,305.6815978281947
2025-08-01,United Arab Emirates,11549,169.98405494909846
2025-08-01,Other Markets In West Asia,4337,173.39330334832584
2025-08-01,Americas,67198,83.76096253185015
2025-08-01,Canada,11370,98.46784495139396
2025-08-01,USA,49954,82.18269859571241
2025-08-01,Other Markets In Americas,5874,74.40230528082415
2025-08-01,Europe,231389,130.18831034565213
2025-08-01,Belgium & Luxembourg,4703,163.7629853171609
2025-08-01,Denmark,2100,66.23038713238194
2025-08-01,Finland,966,37.666937449228264
2025-08-01,France,31826,179.46317807601218
2025-08-01,Germany,32190,101.45053144131298
2025-08-01,Italy,30649,358.0351232428643
2025-08-01,Netherlands,13113,158.22147144882507
2025-08-01,Norway,1322,46.75508399646331
2025-08-01,Rep Of Ireland,2297,111.63129758626276
2025-08-01,Russian Federation,4340,64.8899188876014
2025-08-01,Spain,16966,311.3075123472836
2025-08-01,Sweden,1652,39.53177657686402
2025-08-01,Switzerland,7554,92.4970153365782
2025-08-01,United Kingdom,53247,105.12371240875191
2025-08-01,Other Markets In Europe,28464,124.87314098533263
2025-08-01,Oceania,101544,92.27735428691727
2025-08-01,Australia,84925,89.13390289468713
2025-08-01,New Zealand,13869,108.75727812738928
2025-08-01,Other Markets In Oceania,2750,136.68558174211987
2025-08-01,Africa,9569,126.2317789064046
2025-08-01,Egypt,307,71.09224237746045
2025-08-01,Mauritius,539,49.38912645082468
2025-08-01,South Africa (Rep Of),2525,70.89875283712006
2025-08-01,Other Markets In Africa,6198,248.32559847751327
2025-08-01,Others,100,24000.0
2025-07-01,Total International Visitor Arrivals By Place Of Residence,1680770,105.50964175798974
2025-07-01,Southeast Asia,484305,87.73213504232811
2025-07-01,Brunei Darussalam,4123,68.14500578480525
2025-07-01,Indonesia,223463,86.20631345587672
2025-07-01,Malaysia,88384,86.88309454179057
2025-07-01,Myanmar,14310,110.08186264768291
2025-07-01,Philippines,62381,90.26280408766164
2025-07-01,Thailand,36228,82.25115268840803
2025-07-01,Vietnam,45102,91.43131299138773
2025-07-01,Other Markets In Southeast Asia,10314,108.04525455688245
2025-07-01,Greater China,511059,134.14361421495673
2025-07-01,China,414488,137.1296235029445
2025-07-01,Hong Kong SAR,38198,93.82530058828105
2025-07-01,Taiwan,54386,153.33353695354404
2025-07-01,Other Markets In Greater China,3987,157.08704074596972
2025-07-01,North Asia,115666,90.69750573887201
2025-07-01,Japan,56097,76.12325117493
2025-07-01,South Korea,59416,110.3962542270008
2025-07-01,Other Markets In North Asia,153,931.979695431472
2025-07-01,South Asia,112130,78.51814764954983
2025-07-01,Bangladesh,13576,118.92602163724759
2025-07-01,India,85791,72.60205092690867
2025-07-01,Pakistan,3215,193.15109642535296
2025-07-01,Sri Lanka,6216,75.54385254202957
2025-07-01,Other Markets In South Asia,3332,99.96
2025-07-01,West Asia,25518,181.29803081076602
2025-07-01,Iran,114,17.177297840281266
2025-07-01,Israel,1784,88.10964316582293
2025-07-01,Kuwait,1234,153.84935064935064
2025-07-01,Saudi Arabia,5047,391.4679076982742
2025-07-01,United Arab Emirates,12316,181.2731509873666
2025-07-01,Other Markets In West Asia,5023,200.81959020489757
2025-07-01,Americas,86787,108.17825910371856
2025-07-01,Canada,11657,100.95335695676336
2025-07-01,USA,67604,111.2199054302867
2025-07-01,Other Markets In Americas,7526,95.32716199242128
2025-07-01,Europe,194149,109.23566057720124
2025-07-01,Belgium & Luxembourg,5708,198.7580523475132
2025-07-01,Denmark,3746,118.14239533233462
2025-07-01,Finland,1669,65.07879772542647
2025-07-01,France,24943,140.65072741626255
2025-07-01,Germany,23199,73.11434852149796
2025-07-01,Italy,9366,109.41162727308127
2025-07-01,Netherlands,13284,160.2847576242044
2025-07-01,Norway,3844,135.95048629531388
2025-07-01,Rep Of Ireland,2744,133.35493277174794
2025-07-01,Russian Federation,4313,64.4862258438306
2025-07-01,Spain,10880,199.63608006238627
2025-07-01,Sweden,2693,64.44253893552954
2025-07-01,Switzerland,11703,143.30057856552486
2025-07-01,United Kingdom,47971,94.70748789528496
2025-07-01,Other Markets In Europe,28086,123.21483409619351
2025-07-01,Oceania,142415,129.4185713658249
2025-07-01,Australia,121503,127.52471714351688
2025-07-01,New Zealand,17944,140.7124232978494
2025-07-01,Other Markets In Oceania,2968,147.521020585677
2025-07-01,Africa,8690,114.63623771519029
2025-07-01,Egypt,329,76.18680046314165
2025-07-01,Mauritius,482,44.16615760537569
2025-07-01,South Africa (Rep Of),3470,97.43313756229965
2025-07-01,Other Markets In Africa,4409,176.6485259256786
2025-07-01,Others,51,12240.0
2025-06-01,Total International Visitor Arrivals By Place Of Residence,1245947,78.21380773064848
2025-06-01,Southeast Asia,460065,83.34104481318319
2025-06-01,Brunei Darussalam,4591,75.88011679797256
2025-06-01,Indonesia,205552,79.29670747945912
2025-06-01,Malaysia,100986,99.271091887641
2025-06-01,Myanmar,12392,95.3273544325707
2025-06-01,Philippines,66647,96.43553492297953
2025-06-01,Thailand,26174,59.42480044347995
2025-06-01,Vietnam,37168,75.3474134464968
2025-06-01,Other Markets In Southeast Asia,6555,68.66750471401633
2025-06-01,Greater China,259294,68.059919313138
2025-06-01,China,197185,65.23688215443659
2025-06-01,Hong Kong SAR,27750,68.16200040119375
2025-06-01,Taiwan,32582,91.86028207664421
2025-06-01,Other Markets In Greater China,1777,70.01346160160226
2025-06-01,North Asia,71544,56.09999784363476
2025-06-01,Japan,35118,47.65488947289859
2025-06-01,South Korea,36356,67.55025950378418
2025-06-01,Other Markets In North Asia,70,426.39593908629433
2025-06-01,South Asia,136490,95.57604541770317
2025-06-01,Bangladesh,14023,122.84175025185056
2025-06-01,India,112726,95.39623961472307
2025-06-01,Pakistan,1978,118.83448483027937
2025-06-01,Sri Lanka,4463,54.23941664978732
2025-06-01,Other Markets In South Asia,3300,99.0
2025-06-01,West Asia,17308,122.96834850978675
2025-06-01,Iran,194,29.23154193872426
2025-06-01,Israel,792,39.115940239535746
2025-06-01,Kuwait,956,119.18961038961038
2025-06-01,Saudi Arabia,3991,309.5598216017064
2025-06-01,United Arab Emirates,7971,117.32123144854654
2025-06-01,Other Markets In West Asia,3404,136.09195402298852
2025-06-01,Americas,76490,95.34325462158425
2025-06-01,Canada,7461,64.61465181902817
2025-06-01,USA,62920,103.51394073832377
2025-06-01,Other Markets In Americas,6109,77.37890414718332
2025-06-01,Europe,108667,61.140214618374166
2025-06-01,Belgium & Luxembourg,2238,77.9293134466949
2025-06-01,Denmark,1481,46.708192068122685
2025-06-01,Finland,1731,67.49634443541835
2025-06-01,France,10480,59.095522724709596
2025-06-01,Germany,15844,49.93421000795783
2025-06-01,Italy,4901,57.25244344067598
2025-06-01,Netherlands,5014,60.498929142408976
2025-06-01,Norway,2198,77.73651635720601
2025-06-01,Rep Of Ireland,2348,114.10983314433824
2025-06-01,Russian Federation,3239,48.428213658281315
2025-06-01,Spain,4557,83.61595743054174
2025-06-01,Sweden,1961,46.9260374498973
2025-06-01,Switzerland,5018,61.444270976826765
2025-06-01,United Kingdom,30327,59.873548297936395
2025-06-01,Other Markets In Europe,17330,76.0276676951874
2025-06-01,Oceania,110556,100.46694221760445
2025-06-01,Australia,90887,95.39138101135624
2025-06-01,New Zealand,16549,129.77317728244034
2025-06-01,Other Markets In Oceania,3120,155.07600546742327
2025-06-01,Africa,5509,72.67330651012466
2025-06-01,Egypt,254,58.818988807410264
2025-06-01,Mauritius,312,28.588882101405012
2025-06-01,South Africa (Rep Of),2394,67.22044130378829
2025-06-01,Other Markets In Africa,2549,102.12680711829323
2025-06-01,Others,24,5759.999999999999
2025-05-01,Total International Visitor Arrivals By Place Of Residence,1374170,86.26295353592506
2025-05-01,Southeast Asia,478392,86.66099162133249
2025-05-01,Brunei Darussalam,4395,72.64062586083412
2025-05-01,Indonesia,197881,76.33743175810913
2025-05-01,Malaysia,111673,109.77660907817453
2025-05-01,Myanmar,13698,105.37395908790779
2025-05-01,Philippines,74560,107.88532842974708
2025-05-01,Thailand,39123,88.82388888783778
2025-05-01,Vietnam,30069,60.956235872866785
2025-05-01,Other Markets In Southeast Asia,6993,73.25581395348837
2025-05-01,Greater China,312599,82.05150415114744
2025-05-01,China,242013,80.06782240455237
2025-05-01,Hong Kong SAR,32814,80.60064436629808
2025-05-01,Taiwan,35961,101.38688858137014
2025-05-01,Other Markets In Greater China,1811,71.35305512690022
2025-05-01,North Asia,80466,63.09603078505417
2025-05-01,Japan,40441,54.87816462137627
2025-05-01,South Korea,39936,74.20197941311268
2025-05-01,Other Markets In North Asia,89,542.1319796954315
2025-05-01,South Asia,176875,123.85532297791961
2025-05-01,Bangladesh,12456,109.11480005256011
2025-05-01,India,154403,130.66608932484152
2025-05-01,Pakistan,1039,62.42114749173926
2025-05-01,Sri Lanka,6177,75.06988049422726
2025-05-01,Other Markets In South Asia,2800,84.0
2025-05-01,West Asia,13493,95.86387372559237
2025-05-01,Iran,222,33.450527373179305
2025-05-01,Israel,1546,76.35510556858871
2025-05-01,Kuwait,370,46.12987012987013
2025-05-01,Saudi Arabia,1616,125.34419235989918
2025-05-01,United Arab Emirates,7438,109.4762664050043
2025-05-01,Other Markets In West Asia,2301,91.99400299850075
2025-05-01,Americas,65892,82.13305966172611
2025-05-01,Canada,10765,93.22835100279295
2025-05-01,USA,47768,78.5863623837929
2025-05-01,Other Markets In Americas,7359,93.21187684058307
2025-05-01,Europe,133831,75.29844444579894
2025-05-01,Belgium & Luxembourg,2470,86.00777668156229
2025-05-01,Denmark,1527,48.15895292911772
2025-05-01,Finland,1593,62.11535337124289
2025-05-01,France,14639,82.54764858463967
2025-05-01,Germany,26299,82.88435931578408
2025-05-01,Italy,5479,64.00451695806237
2025-05-01,Netherlands,7143,86.18744532593286
2025-05-01,Norway,1209,42.758620689655174
2025-05-01,Rep Of Ireland,1787,86.84594200550787
2025-05-01,Russian Federation,4770,71.3191043995066
2025-05-01,Spain,4008,73.54240890533494
2025-05-01,Sweden,1400,33.50150557361357
2025-05-01,Switzerland,6716,82.2358955520862
2025-05-01,United Kingdom,37413,73.86319327565187
2025-05-01,Other Markets In Europe,17378,76.2382463477765
2025-05-01,Oceania,106952,97.1918340393758
2025-05-01,Australia,90145,94.61260731753396
2025-05-01,New Zealand,13568,106.39691034915406
2025-05-01,Other Markets In Oceania,3239,160.99076336826408
2025-05-01,Africa,5653,74.57291735373656
2025-05-01,Egypt,253,58.58741798533384
2025-05-01,Mauritius,369,33.81185094685401
2025-05-01,South Africa (Rep Of),2156,60.53770737300231
2025-05-01,Other Markets In Africa,2875,115.18814062969518
2025-05-01,Others,17,4079.9999999999995
2025-04-01,Total International Visitor Arrivals By Place Of Residence,1403644,88.11317169853803
2025-04-01,Southeast Asia,512837,92.90072359092395
2025-04-01,Brunei Darussalam,4107,67.88055754503884
2025-04-01,Indonesia,236847,91.36951854707058
2025-04-01,Malaysia,109253,107.39770465213438
2025-04-01,Myanmar,16881,129.85967319046367
2025-04-01,Philippines,69047,99.9082386277997
2025-04-01,Thailand,41843,94.9993094275438
2025-04-01,Vietnam,26579,53.881266196578736
2025-04-01,Other Markets In Southeast Asia,8280,86.73790069138906
2025-04-01,Greater China,275456,72.30214788741637
2025-04-01,China,207505,68.65116125190234
2025-04-01,Hong Kong SAR,34549,84.8623045715619
2025-04-01,Taiwan,31428,88.60674437127169
2025-04-01,Other Markets In Greater China,1974,77.77522408641691
2025-04-01,North Asia,63898,50.10451836929126
2025-04-01,Japan,31817,43.175454705826475
2025-04-01,South Korea,32026,59.50502285367455
2025-04-01,Other Markets In North Asia,55,335.0253807106599
2025-04-01,South Asia,143843,100.72492564304108
2025-04-01,Bangladesh,13591,119.05742192632825
2025-04-01,India,118660,100.41798513814948
2025-04-01,Pakistan,1487,89.3361369780715
2025-04-01,Sri Lanka,7127,86.61535345351427
2025-04-01,Other Markets In South Asia,2978,89.34
2025-04-01,West Asia,16714,118.74814981468545
2025-04-01,Iran,509,76.69512807634355
2025-04-01,Israel,2126,105.00061736016792
2025-04-01,Kuwait,324,40.394805194805194
2025-04-01,Saudi Arabia,2251,174.59763428349814
2025-04-01,United Arab Emirates,8860,130.40598552679995
2025-04-01,Other Markets In West Asia,2644,105.70714642678661
2025-04-01,Americas,74503,92.86649887660991
2025-04-01,Canada,11702,101.34307138269236
2025-04-01,USA,54197,89.16314440869252
2025-04-01,Other Markets In Americas,8604,108.98151764320923
2025-04-01,Europe,175269,98.61304973863106
2025-04-01,Belgium & Luxembourg,3139,109.30300040624455
2025-04-01,Denmark,2585,81.52645273200348
2025-04-01,Finland,1911,74.51502843216896
2025-04-01,France,15665,88.3331453704748
2025-04-01,Germany,30761,96.9468716267856
2025-04-01,Italy,6480,75.69798683851874
2025-04-01,Netherlands,7381,89.05915357002804
2025-04-01,Norway,1794,63.44827586206897
2025-04-01,Rep Of Ireland,2685,130.48760732220964
2025-04-01,Russian Federation,5119,76.53721078009943
2025-04-01,Spain,5561,102.03825746571047
2025-04-01,Sweden,2317,55.444991724330464
2025-04-01,Switzerland,9507,116.41105703003029
2025-04-01,United Kingdom,56713,111.96651645797036
2025-04-01,Other Markets In Europe,23651,103.7582440080137
2025-04-01,Oceania,134313,122.05593916271489
2025-04-01,Australia,116848,122.639014253028
2025-04-01,New Zealand,14745,115.6266541198612
2025-04-01,Other Markets In Oceania,2720,135.19446630493312
2025-04-01,Africa,6784,89.49277752127168
2025-04-01,Egypt,205,47.47201852566577
2025-04-01,Mauritius,613,56.16982284667075
2025-04-01,South Africa (Rep Of),3011,84.545007838641
2025-04-01,Other Markets In Africa,2955,118.39337584721711
2025-04-01,Others,27,6480.0
2025-03-01,Total International Visitor Arrivals By Place Of Residence,1296605,81.39384273375792
2025-03-01,Southeast Asia,429836,77.86504371842979
2025-03-01,Brunei Darussalam,4435,73.30174646025013
2025-03-01,Indonesia,195890,75.569354850117
2025-03-01,Malaysia,104150,102.38136197193484
2025-03-01,Myanmar,14813,113.95126704403403
2025-03-01,Philippines,51623,74.69640973080517
2025-03-01,Thailand,29757,67.55955477942358
2025-03-01,Vietnam,23240,47.1124055234768
2025-03-01,Other Markets In Southeast Asia,5928,62.09930861093652
2025-03-01,Greater China,238828,62.68796967811874
2025-03-01,China,187036,61.87917686759743
2025-03-01,Hong Kong SAR,23378,57.42310794158946
2025-03-01,Taiwan,26892,75.81814209088196
2025-03-01,Other Markets In Greater China,1522,59.96651016186755
2025-03-01,North Asia,104090,81.62038431655964
2025-03-01,Japan,65548,88.9481945204612
2025-03-01,South Korea,38446,71.43352615476087
2025-03-01,Other Markets In North Asia,96,584.7715736040609
2025-03-01,South Asia,120378,84.29374456218237
2025-03-01,Bangladesh,11219,98.27865621304367
2025-03-01,India,101198,85.64047918431191
2025-03-01,Pakistan,569,34.18443977170321
2025-03-01,Sri Lanka,4974,60.44966578894064
2025-03-01,Other Markets In South Asia,2418,72.53999999999999
2025-03-01,West Asia,17669,125.53314940024394
2025-03-01,Iran,1565,235.81115017579108
2025-03-01,Israel,2413,119.17520681565625
2025-03-01,Kuwait,243,30.296103896103894
2025-03-01,Saudi Arabia,1401,108.66783013379873
2025-03-01,United Arab Emirates,9571,140.87084508769777
2025-03-01,Other Markets In West Asia,2476,98.99050474762619
2025-03-01,Americas,94760,118.1164440834269
2025-03-01,Canada,17576,152.21379444729112
2025-03-01,USA,68300,112.3649420284093
2025-03-01,Other Markets In Americas,8884,112.52810352653077
2025-03-01,Europe,193320,108.76923343815596
2025-03-01,Belgium & Luxembourg,2813,97.95136672276709
2025-03-01,Denmark,2935,92.56485058740046
2025-03-01,Finland,2827,110.23233143785541
2025-03-01,France,14771,83.29198150445471
2025-03-01,Germany,37577,118.42828890867403
2025-03-01,Italy,5354,62.544293446516875
2025-03-01,Netherlands,6761,81.5782329341498
2025-03-01,Norway,2254,79.71706454465075
2025-03-01,Rep Of Ireland,2774,134.81289486473352
2025-03-01,Russian Federation,6974,104.27241804657422
2025-03-01,Spain,4586,84.14807565864922
2025-03-01,Sweden,3083,73.77510120246474
2025-03-01,Switzerland,7312,89.5337802675483
2025-03-01,United Kingdom,63276,124.92362060540849
2025-03-01,Other Markets In Europe,30023,131.7125601392159
2025-03-01,Oceania,93049,84.55758625860086
2025-03-01,Australia,81781,85.8340855181679
2025-03-01,New Zealand,8878,69.6190868278147
2025-03-01,Other Markets In Oceania,2390,118.79219649587871
2025-03-01,Africa,4662,61.499901061935226
2025-03-01,Egypt,152,35.198764955615594
2025-03-01,Mauritius,282,25.839951130116066
2025-03-01,South Africa (Rep Of),2069,58.09485925544611
2025-03-01,Other Markets In Africa,2159,86.5012854328737
2025-03-01,Others,13,3120.0
2025-02-01,Total International Visitor Arrivals By Place Of Residence,1377513,86.47280897860726
2025-02-01,Southeast Asia,419289,75.95444847722553
2025-02-01,Brunei Darussalam,3766,62.244504435017355
2025-02-01,Indonesia,192616,74.30632933692446
2025-02-01,Malaysia,105762,103.96598756481777
2025-02-01,Myanmar,10923,84.02684735853533
2025-02-01,Philippines,50154,72.57082567147981
2025-02-01,Thailand,26711,60.6439919250322
2025-02-01,Vietnam,23212,47.05564358911117
2025-02-01,Other Markets In Southeast Asia,6145,64.37251204693065
2025-02-01,Greater China,324420,85.15429984329845
2025-02-01,China,267974,88.65678554886522
2025-02-01,Hong Kong SAR,21228,52.14208809068616
2025-02-01,Taiwan,33492,94.42589673166066
2025-02-01,Other Markets In Greater China,1726,68.00407131365532
2025-02-01,North Asia,128147,100.48426735530953
2025-02-01,Japan,55785,75.6998692763155
2025-02-01,South Korea,72230,134.20495224882637
2025-02-01,Other Markets In North Asia,132,804.0609137055836
2025-02-01,South Asia,94262,66.00622165113587
2025-02-01,Bangladesh,10851,95.05496912093207
2025-02-01,India,74869,63.359128006978885
2025-02-01,Pakistan,1708,102.61339741664163
2025-02-01,Sri Lanka,4342,52.76888798865708
2025-02-01,Other Markets In South Asia,2492,74.75999999999999
2025-02-01,West Asia,13566,96.38251767297012
2025-02-01,Iran,325,48.970366649924664
2025-02-01,Israel,2133,105.34633905420424
2025-02-01,Kuwait,496,61.83896103896104
2025-02-01,Saudi Arabia,1856,143.9596664727555
2025-02-01,United Arab Emirates,6240,91.8434931926898
2025-02-01,Other Markets In West Asia,2516,100.58970514742629
2025-02-01,Americas,89921,112.08472740001932
2025-02-01,Canada,16299,141.15456507148374
2025-02-01,USA,65777,108.2141843602149
2025-02-01,Other Markets In Americas,7845,99.3677366237769
2025-02-01,Europe,208194,117.13791530324562
2025-02-01,Belgium & Luxembourg,2871,99.97098253148394
2025-02-01,Denmark,3909,123.28313490499094
2025-02-01,Finland,3434,133.90089358245328
2025-02-01,France,18937,106.783579564678
2025-02-01,Germany,39200,123.5433623019406
2025-02-01,Italy,5709,66.6913282193061
2025-02-01,Netherlands,7583,91.49648577720129
2025-02-01,Norway,2715,96.02122015915118
2025-02-01,Rep Of Ireland,2453,119.2127004697878
2025-02-01,Russian Federation,7933,118.6109968975442
2025-02-01,Spain,4278,78.4966130980596
2025-02-01,Sweden,3959,94.73747183281152
2025-02-01,Switzerland,8167,100.00306119325313
2025-02-01,United Kingdom,60238,118.92580216873058
2025-02-01,Other Markets In Europe,36808,161.47873009373677
2025-02-01,Oceania,95304,86.60680072638822
2025-02-01,Australia,85012,89.2252146350679
2025-02-01,New Zealand,7521,58.97782744221608
2025-02-01,Other Markets In Oceania,2771,137.7293625481506
2025-02-01,Africa,4378,57.75344634258954
2025-02-01,Egypt,222,51.40872250096488
2025-02-01,Mauritius,381,34.91142333536958
2025-02-01,South Africa (Rep Of),1470,41.275709572501576
2025-02-01,Other Markets In Africa,2305,92.35083970485127
2025-02-01,Others,32,7680.0
2025-01-01,Total International Visitor Arrivals By Place Of Residence,1633495,102.54197318102267
2025-01-01,Southeast Asia,476556,86.32839914358041
2025-01-01,Brunei Darussalam,4535,74.95454795879016
2025-01-01,Indonesia,251772,97.12720204871945
2025-01-01,Malaysia,102328,100.59030252389964
2025-01-01,Myanmar,11794,90.72714801305187
2025-01-01,Philippines,49088,71.02836644258885
2025-01-01,Thailand,23423,53.17899827262287
2025-01-01,Vietnam,26655,54.0353343041426
2025-01-01,Other Markets In Southeast Asia,6961,72.92059501361827
2025-01-01,Greater China,452741,118.8362088199087
